91 153
2.160280895201050e-01 5.787392518243614e-02 1.000000000000000e-02
2.246143086973462e-01 6.017417330001906e-02 1.000000000000000e-02
2.332653753592786e-01 6.249179405875075e-02 1.000000000000000e-02
2.419837871202178e-01 6.482745656950634e-02 1.000000000000000e-02
2.507720610374096e-01 6.718183515192203e-02 1.000000000000000e-02
2.596327343377189e-01 6.955560952907491e-02 1.000000000000000e-02
2.685683651501428e-01 7.194946502372325e-02 1.000000000000000e-02
2.775815332443570e-01 7.436409275616325e-02 1.000000000000000e-02
2.866748407755109e-01 7.680018984375939e-02 1.000000000000000e-02
2.958509130354852e-01 7.925845960220650e-02 1.000000000000000e-02
3.051123992108292e-01 8.173961174858115e-02 1.000000000000000e-02
3.144619731475971e-01 8.424436260624126e-02 1.000000000000000e-02
3.239023341233023e-01 8.677343531163269e-02 1.000000000000000e-02
3.334362076262161e-01 8.932756002306329e-02 1.000000000000000e-02
3.430663461422313e-01 9.190747413150376e-02 1.000000000000000e-02
3.527955299495216e-01 9.451392247347684e-02 1.000000000000000e-02
3.626265679212244e-01 9.714765754609603e-02 1.000000000000000e-02
3.725622983363795e-01 9.980943972431608e-02 1.000000000000000e-02
3.826055896993568e-01 1.025000374804577e-01 1.000000000000000e-02
3.927593415680097e-01 1.052202276060698e-01 1.000000000000000e-02
4.030264853907966e-01 1.079707954361944e-01 1.000000000000000e-02
4.134099853531059e-01 1.107525350760971e-01 1.000000000000000e-02
4.239128392330342e-01 1.135662496305299e-01 1.000000000000000e-02
4.345380792668632e-01 1.164127514355927e-01 1.000000000000000e-02
4.452887730244839e-01 1.192928622932593e-01 1.000000000000000e-02
4.561680242950219e-01 1.222074137086364e-01 1.000000000000000e-02
4.671789739829213e-01 1.251572471300246e-01 1.000000000000000e-02
4.783248010147397e-01 1.281432141918488e-01 1.000000000000000e-02
4.896087232569257e-01 1.311661769605304e-01 1.000000000000000e-02
5.010339984448358e-01 1.342270081833715e-01 1.000000000000000e-02
5.126039251232593e-01 1.373265915405212e-01 1.000000000000000e-02
5.243218435987326e-01 1.404658219001005e-01 1.000000000000000e-02
5.361911369038998e-01 1.436456055765548e-01 1.000000000000000e-02
5.482152317742189e-01 1.468668605923133e-01 1.000000000000000e-02
5.603975996372790e-01 1.501305169428271e-01 1.000000000000000e-02
5.727417576150213e-01 1.534375168650642e-01 1.000000000000000e-02
5.852512695391541e-01 1.567888151095394e-01 1.000000000000000e-02
5.979297469800522e-01 1.601853792159560e-01 1.000000000000000e-02
6.107808502894381e-01 1.636281897925405e-01 1.000000000000000e-02
6.238082896571472e-01 1.671182407991498e-01 1.000000000000000e-02
6.370158261822831e-01 1.706565398342337e-01 1.000000000000000e-02
6.504072729590673e-01 1.742441084257342e-01 1.000000000000000e-02
6.639864961777036e-01 1.778819823260068e-01 1.000000000000000e-02
6.777574162405686e-01 1.815712118108484e-01 1.000000000000000e-02
6.917240088940575e-01 1.853128619827180e-01 1.000000000000000e-02
7.058903063764035e-01 1.891080130782386e-01 1.000000000000000e-02
7.202603985818095e-01 1.929577607800668e-01 1.000000000000000e-02
7.348384342412258e-01 1.968632165332244e-01 1.000000000000000e-02
7.496286221201123e-01 2.008255078659781e-01 1.000000000000000e-02
7.646352322335346e-01 2.048457787153639e-01 1.000000000000000e-02
7.798625970789419e-01 2.089251897574486e-01 1.000000000000000e-02
7.953151128869864e-01 2.130649187424237e-01 1.000000000000000e-02
